doc_id,replydate,likes
27343,2015-08-27,1
42919,2015-08-26,1
128884,2015-08-26,3
171664,2015-08-26,3
44958,2015-08-26,4
172218,2015-08-26,7
9830,2015-08-26,1
1306,2015-08-26,1
19734,2015-08-26,3
67622,2015-08-26,1
19428,2015-08-26,1
37438,2015-08-26,3
140605,2015-08-26,3
52953,2015-08-26,1
152657,2015-08-26,1
33948,2015-08-26,2
36419,2015-08-26,1
160315,2015-08-26,1
420676,2015-08-26,1
144416,2015-08-26,1
18475,2015-08-26,1
73086,2015-08-26,2
87791,2015-08-26,1
162475,2015-08-26,3
41586,2015-08-26,1
45537,2015-08-26,2
174970,2015-08-26,5
194675,2015-08-26,1
34088,2015-08-26,1
189148,2015-08-26,2
40515,2015-08-26,1
152548,2015-08-26,1
130521,2015-08-26,1
42581,2015-08-25,2
144416,2015-08-25,2
192404,2015-08-25,1
73086,2015-08-25,3
118893,2015-08-25,1
45537,2015-08-25,4
420676,2015-08-25,3
191792,2015-08-25,1
174970,2015-08-25,4
93970,2015-08-25,2
29093,2015-08-25,1
9141,2015-08-25,1
28575,2015-08-25,1
64436,2015-08-25,1
33948,2015-08-25,2
58980,2015-08-25,3
19799,2015-08-25,2
143417,2015-08-25,1
23788,2015-08-25,3
22756,2015-08-25,1
52953,2015-08-25,2
40515,2015-08-25,1
128884,2015-08-25,5
94019,2015-08-25,1
162475,2015-08-25,3
37438,2015-08-25,1
171664,2015-08-25,2
35496,2015-08-25,1
172218,2015-08-25,3
21795,2015-08-25,1
83590,2015-08-25,1
189148,2015-08-25,2
172218,2015-08-24,9
37438,2015-08-24,3
171664,2015-08-24,4
125810,2015-08-24,1
19135,2015-08-24,1
151889,2015-08-24,2
174970,2015-08-24,2
162475,2015-08-24,4
95694,2015-08-24,1
128884,2015-08-24,4
21795,2015-08-24,3
30880,2015-08-24,1
160315,2015-08-24,1
162475,2015-08-23,3
128884,2015-08-23,7
172218,2015-08-23,5
80,2015-08-23,2
37438,2015-08-23,6
174970,2015-08-23,3
144416,2015-08-23,3
95694,2015-08-23,1
171664,2015-08-23,3
9928,2015-08-23,1
21795,2015-08-23,2
114050,2015-08-23,5
160730,2015-08-23,1
128884,2015-08-22,3
19135,2015-08-22,4
125810,2015-08-22,1
162475,2015-08-22,3
95694,2015-08-22,3
171664,2015-08-22,11
174970,2015-08-22,2
80,2015-08-22,1
172218,2015-08-22,6
37438,2015-08-22,4
43031,2015-08-22,1
149806,2015-08-22,3
160315,2015-08-22,2
30942,2015-08-22,1
114050,2015-08-22,3
95694,2015-08-21,1
174970,2015-08-21,4
128884,2015-08-21,2
37438,2015-08-21,3
80,2015-08-21,1
162475,2015-08-21,7
30942,2015-08-21,1
171664,2015-08-21,6
114050,2015-08-21,7
172218,2015-08-21,2
160315,2015-08-21,5
95694,2015-08-20,4
37438,2015-08-20,4
172218,2015-08-20,6
114050,2015-08-20,1
160315,2015-08-20,2
46169,2015-08-20,1
128884,2015-08-20,1
171664,2015-08-20,4
162475,2015-08-20,5
174970,2015-08-19,5
114050,2015-08-19,3
9830,2015-08-19,4
37438,2015-08-19,1
95694,2015-08-19,1
144416,2015-08-19,1
171664,2015-08-19,4
162475,2015-08-19,5
160315,2015-08-19,6
160730,2015-08-19,2
172218,2015-08-19,7
128884,2015-08-19,10
46169,2015-08-19,1
35064,2015-08-19,1
19135,2015-08-18,2
114050,2015-08-18,1
9928,2015-08-18,3
9830,2015-08-18,2
171664,2015-08-18,1
46169,2015-08-18,2
128884,2015-08-18,10
160730,2015-08-18,3
174970,2015-08-18,4
172218,2015-08-18,11
95694,2015-08-18,4
162475,2015-08-18,7
30461,2015-08-18,3
37438,2015-08-18,2
21802,2015-08-18,2
160315,2015-08-18,4
125810,2015-08-18,1
172299,2015-08-17,1
174970,2015-08-17,3
21795,2015-08-17,2
144416,2015-08-17,1
172218,2015-08-17,12
160730,2015-08-17,1
171664,2015-08-17,4
162475,2015-08-17,2
19135,2015-08-17,3
95694,2015-08-17,3
37438,2015-08-17,1
9830,2015-08-17,2
25095,2015-08-17,1
128884,2015-08-17,4
160315,2015-08-17,1
94352,2015-08-17,2
128884,2015-08-16,1
157304,2015-08-16,1
125810,2015-08-16,2
37438,2015-08-16,3
174970,2015-08-16,4
171664,2015-08-16,3
95694,2015-08-16,2
21795,2015-08-16,1
87601,2015-08-16,1
160315,2015-08-16,11
172299,2015-08-16,1
19135,2015-08-16,9
162475,2015-08-16,1
172218,2015-08-16,3
144416,2015-08-15,1
128884,2015-08-15,7
172218,2015-08-15,2
35064,2015-08-15,2
160315,2015-08-15,3
19135,2015-08-15,6
30942,2015-08-15,2
46169,2015-08-15,1
28575,2015-08-15,1
94352,2015-08-15,1
174970,2015-08-15,2
9830,2015-08-15,1
25095,2015-08-14,1
35064,2015-08-14,4
174970,2015-08-14,4
128884,2015-08-14,14
160730,2015-08-14,1
94352,2015-08-14,1
125810,2015-08-14,3
30942,2015-08-14,3
172218,2015-08-14,7
9830,2015-08-14,6
21795,2015-08-14,1
176880,2015-08-14,1
46169,2015-08-14,1
28575,2015-08-14,3
19135,2015-08-14,1
160315,2015-08-14,10
144416,2015-08-14,2
95694,2015-08-14,1
37438,2015-08-14,1
171324,2015-08-14,1
162475,2015-08-14,2
162475,2015-08-13,7
30942,2015-08-13,2
160315,2015-08-13,6
95694,2015-08-13,2
172299,2015-08-13,2
9830,2015-08-13,4
171664,2015-08-13,2
174970,2015-08-13,1
25095,2015-08-13,1
176880,2015-08-13,1
128884,2015-08-13,5
144416,2015-08-13,1
9803,2015-08-13,1
172218,2015-08-13,7
35064,2015-08-13,3
28575,2015-08-13,2
171324,2015-08-13,2
37438,2015-08-13,1
19135,2015-08-12,4
171664,2015-08-12,4
162475,2015-08-12,10
21802,2015-08-12,1
28575,2015-08-12,5
30942,2015-08-12,2
172218,2015-08-12,4
9830,2015-08-12,2
160730,2015-08-12,1
89668,2015-08-12,1
37438,2015-08-12,3
128884,2015-08-12,5
174970,2015-08-12,5
35064,2015-08-12,7
160315,2015-08-12,4
95694,2015-08-12,2
174970,2015-08-11,6
128884,2015-08-11,8
172218,2015-08-11,9
9830,2015-08-11,4
160730,2015-08-11,1
19135,2015-08-11,4
160315,2015-08-11,1
164189,2015-08-11,1
37438,2015-08-11,1
162475,2015-08-11,9
27024,2015-08-11,2
171664,2015-08-11,1
30942,2015-08-11,1
174970,2015-08-10,6
